name,html_url,stargazers_count,forks,description,homepage,language,created_at,updated_at
clearstreets-processing,https://github.com/datamade/clearstreets-processing,5,1,Converts GPX files to OSM (Open Street Map) and snaps lines to city street grid,clearstreets.org,Python,2012-02-01T23:34:07Z,2016-12-19T19:46:16Z
dedupe,https://github.com/datamade/dedupe,1061,168,":id: A python library for accurate and scaleable fuzzy matching, record deduplication and entity-resolution.",,Python,2012-04-20T14:57:36Z,2016-12-23T16:31:38Z
food-inspections,https://github.com/datamade/food-inspections,1,0,Analysis of durations between food inspections,,Python,2012-06-13T00:03:52Z,2016-09-06T19:09:16Z
second-city-zoning,https://github.com/datamade/second-city-zoning,19,10,"🏙 2nd City Zoning is an interactive map that lets you find out how your building is zoned, learn where to locate your business and explore zoning patterns throughout Chicago",https://secondcityzoning.org,HTML,2012-08-14T22:32:35Z,2016-12-23T17:41:52Z
illinois-district-map,https://github.com/datamade/illinois-district-map,1,1,Illinois Redistricted: Stories from the 2010 Illinois redistricting process,http://illinois-district-map.herokuapp.com/,JavaScript,2012-12-11T00:21:46Z,2013-10-02T05:06:26Z
clearstreets-web,https://github.com/datamade/clearstreets-web,5,7,Website that tracks where Chicago plows have been during a snowstorm.,http://clearstreets.org,HTML,2012-12-20T08:15:26Z,2016-01-11T14:54:48Z
look-at-washington,https://github.com/datamade/look-at-washington,3,1,Budget transparency site for the State of Washington,,JavaScript,2013-03-12T20:28:14Z,2014-05-16T05:34:19Z
chicago-atlas,https://github.com/datamade/chicago-atlas,1,0,The Chicago Health Atlas is a place where you can view citywide information about health trends and take action near you to improve your own health.,http://www.chicagohealthatlas.org/,Ruby,2013-04-04T14:34:36Z,2014-07-03T18:57:21Z
chicago-cube,https://github.com/datamade/chicago-cube,0,0,"Plant a daisy, share a photo, watch it grow. A GFRY design objects studio project by Amarinh Kongmanivong.",http://chicagocube.org/,Ruby,2013-04-08T16:12:32Z,2014-03-05T20:17:09Z
micro-boundaries,https://github.com/datamade/micro-boundaries,0,1,"A game where you find a home for five beneficial bacteria by interpreting their needs, exploring your city and taking photos with Instagram. GFRY design object studio project by Moe Beitiks and Brooke Collins.",http://microboundaries.com/,Ruby,2013-04-15T22:48:57Z,2014-03-05T20:38:26Z
alderman-factors,https://github.com/datamade/alderman-factors,2,0,Estimating the poltical structure of the Chicago council from campaign contributions,http://alderman-factors.herokuapp.com/,JavaScript,2013-04-18T20:52:54Z,2015-03-10T16:49:39Z
mote-0-bike,https://github.com/datamade/mote-0-bike,1,0,"A bicycle-based sensing and data gathering project, intended to better map the urban environment as it is experienced by the bicyclist and pedestrian. GFRY design objects studio project by Colin Hutton",http://mote-0-bike.herokuapp.com/,JavaScript,2013-04-22T18:09:37Z,2016-01-14T08:55:05Z
petl,https://github.com/datamade/petl,0,0,Python Extract Transform and Load Tables of Data,,Python,2013-05-31T03:08:41Z,2013-05-31T03:08:41Z
csvdedupe,https://github.com/datamade/csvdedupe,129,27,:id: Command line tool for deduplicating CSV files,,Python,2013-07-11T14:23:33Z,2016-12-23T17:14:43Z
leaflet-searchable-map-template,https://github.com/datamade/leaflet-searchable-map-template,2,1,,,JavaScript,2013-07-25T04:54:57Z,2016-08-30T16:06:52Z
csvkit,https://github.com/datamade/csvkit,1,0,"A suite of utilities for converting to and working with CSV, the king of tabular file formats.",http://csvkit.rtfd.org/,Prolog,2013-08-14T16:00:39Z,2014-09-09T13:24:22Z
where-we-work,https://github.com/datamade/where-we-work,1,5,visualizing Chicago employment data,wherewework.org,JavaScript,2013-08-21T03:34:35Z,2014-05-28T18:53:27Z
macoupin-budget,https://github.com/datamade/macoupin-budget,3,1,":bar_chart: Budget visualization for Macoupin County, IL. Based on Look at Cook",http://macoupinbudget.com,JavaScript,2013-08-30T18:42:50Z,2016-12-23T18:29:05Z
legistar-people,https://github.com/datamade/legistar-people,1,0,Using the legistar-scraper to get a list of elected officials,,Python,2013-09-17T16:54:45Z,2014-09-20T16:36:42Z
chicago-elections,https://github.com/datamade/chicago-elections,0,0,API for local chicago election,http://chicagoelections.datamade.us/elections/22/,Python,2013-10-03T18:57:18Z,2016-09-07T15:25:19Z
